,Employee Name,ID,Gender,Age,Married,Role,Salary,Position,Absences,Projects_Completed,Mean Monthly Hours,Years in the company,Joining_Year,Current_Employ_Rating,Moral,Stress & Burnout Score,Ongoing_Project_Count,Projects_Within_Deadline,Project_Start_Date,Project_Description,Project_Difficulty,Project_Deadline,Manager_ID,Completion_Time
270,Chris Kabir,268,Male,45,Married,Backend Developer,"3,00,000",Senior,6,45,256,15,2007,8,High,2,3,7,17/9/2023,Develop a highly secure Business to Business payment transfer system,High,1/10/2023,4,10
271,Dakshika Mahajan,269,Female,43,Married,HR,"1,25,000",Senior,7,34,223,14,2007,10,Moderate,3,2,15,23/11/2023,Preparation of compensation plans and salary structure,Medium,4/12/2023,2,10
272,Deepak Meena,270,Male,65,Married,Backend Developer,"6,00,000",Senior,18,150,303,40,1969,4,High,1,4,72,16/6/2023,Design and implement an algorithm for natural language processing of chatbot responses,High,24/9/2023,4,94
273,Synthetic record: Deepak Sharma,271,Male,46,Married,Backend Developer,"2,50,000",Senior,8,56,126,15,2005,7,High,3,3,48,5/12/2023,Develop a secure user registration and login system,Medium,13/12/2023,4,7
274,Amit Jain,272,Male,33,Married,Backend Developer,"2,80,000",Senior,4,75,220,16,2008,9,Very High,2,5,55,20/5/2023,Develop a secure user registration and login system,High,5/6/2023,4,11
275,Priya Verma,273,Female,43,Married,HR,"1,50,000",Senior,7,57,300,14,2006,10,Low,3,2,15,13/10/2023,Design yearly employee performance monitoring system,High,30/10/2023,2,16
276,Neha Jain,274,Female,32,Married,HR,"1,40,000",Senior,3,20,231,5,2018,8,Moderate,2,2,18,8/9/2023,Create a comprehensive career path for HR employees,Medium,20/9/2023,2,11
277,Anshul Saxena,275,Male,40,Married,Backend Developer,"3,20,000",Senior,8,73,174,16,2004,9,Very High,3,5,43,25/12/2023,Design and implement backend server for AI assistant,High,20/1/2024,4,28
278,Harish Bhargava,276,Male,64,Married,Backend Developer,"3,85,000",Senior,8,55,220,13,2007,7,Very High,4,6,62,24/1/2024,Create database trigger to automate preparation of regularly processed reports,High,7/3/2024,4,39
279,Pooja Patel,277,Female,24,Bachelor,Frontend Developer,85000,Senior,0,28,140,5,2018,5,High,1,2,20,17/4/2023,Design navigation menu for a web application,Low,24/6/2023,1,64
280,Daniel Fernandez,278,Male,30,Married,Backend Developer,"2,30,000",Senior,8,50,189,10,2010,7,Very High,1,4,45,15/9/2023,Build a scalable customer service system with chatbot integration,High,1/10/2023,4,12
281,Atharva Jha,279,Male,26,Bachelor,Frontend Developer,"1,20,000",Junior,3,19,143,5,2018,7,High,3,2,15,20/7/2023,Implement and maintain user analytics systems to track user behavior on the website,Medium,5/8/2023,3,14
282,Shikhar Suresh,280,Male,33,Married,Backend Developer,"2,90,000",Senior,3,53,178,8,2013,8,High,2,3,35,5/10/2023,Develop test and debug distributed systems,High,15/10/2023,4,6
283,Priyanka Das,281,Female,30,Married,HR,"1,50,000",Senior,2,24,200,7,2015,9,Low,1,3,10,19/08/2023,Connect HR and payroll applications to create automated processes to track employee payroll information,Medium,20/12/2023,2,123
284,Neha Joshi,231,Female,43,Married,HR,"2,00,000",Senior,9,56,231,15,2005,8,Very High,4,2,20,29/7/2023,Analyse and strategize employee training and development plans to facilitate ongoing growth in the organization,Medium,15/7/2023,2,14
285,Naisha Raj,282,Female,65,Married,HR,"2,40,000",Senior,8,55,139,23,1999,6,High,3,3,28,1/12/2025,Coordinate the onboarding process of new hires including paperwork policy and procedure guides,Medium,11/1/2026,2,46
286,Mariya Khalid,283,Female,22,Bachelor,HR,"1,10,000",Junior,4,11,168,3,2021,9,High,4,5,8,5/8/2023,Analyze employee feedback from the customer base to understand user experience and needs,Medium,8/8/2023,2,6
287,Nishant Mittal,284,Male,55,Married,Backend Developer,"3,00,000",Senior,8,56,242,14,2006,4,High,2,1,37,19/10/2023,Design a cloud-based architecture for secure and reliable data storage and retrieval,High,25/10/2023,4,4
288,Beata Gupta,285,Female,43,Married,HR,"1,50,000",Senior,4,19,294,11,2012,7,High,3,2,15,28/7/2023,Coordinate the recruitment process and to identify areas for improvement,Low,5/11/2023,2,94
289,Joyce Thomas,286,Female,24,Bachelor,Frontend Developer,"1,20,000",Junior,3,19,186,2,2021,9,High,3,3,17,15/3/2023,Design interactive features and ensure usability on mobile platforms,Medium,22/4/2023,3,38
290,Rishabh Joshi,287,Male,24,Bachelor,Backend Developer,"1,60,000",Junior,0,16,137,1,2023,8,Moderate,5,1,15,5/2/2024,Design and optimize the system architecture to ensure scalability and responsiveness,Medium,15/3/2024,4,43
291,Abhisekh Roy,288,Male,63,Married,Backend Developer,"2,50,000",Senior,5,67,206,17,2003,6,High,3,5,28,3/11/2023,Design and implement database structure for storing and retrieving user data,High,28/9/2023,4,31
292,Nihaan Chauhan,289,Male,34,Married,Backend Developer,"2,30,000",Senior,4,55,235,11,2009,9,Very High,1,6,25,31/8/2023,Develop an authorization system for secure user authentication,High,17/9/2023,4,11
293,Neetu Jain,290,Female,42,Married,HR,"1,50,000",Senior,10,53,133,24,1996,4,Moderate,3,1,8,2/5/2023,Draft policies for employee development,Medium,1/7/2023,2,63
294,Jasmine Basu,291,Female,44,Married,HR,"1,20,000",Senior,2,28,262,14,2007,6,Moderate,1,8,20,5/7/2023,Provide advice and guidance to the team on organizational matters and offer guidance for conflicts,Low,15/8/2023,2,36
295,Kavya Malik,292,Female,32,Married,HR,"1,35,000",Senior,4,25,154,6,2016,8,Moderate,3,3,20,4/7/2023,Plan and Organize Training and Orientation Programs,High,12/8/2023,2,35
296,Timothy John,293,Male,32,Married,Frontend Developer,"1,50,000",Senior,8,24,191,5,2017,6,Moderate,3,2,33,17/10/2023,Develop a responsive UI for a real-time chat application,Medium,27/10/2023,1,14
297,Neha Gupta,106,Female,26,Married,HR,"1,25,000",Senior,4,24,218,5,2018,9,High,5,2,10,11/10/2023,Create and maintain HR policies and procedures,Medium,15/11/2023,2,33
298,John Thomas,294,Male,22,Bachelor,Frontend Developer,"1,20,000",Junior,1,7,297,0,2022,5,Very Low,5,5,11,10/2/2023,Build an innovative web and mobile app for a new ecommerce project,High,1/7/2023,1,140
299,Ankush Chopra,295,Male,43,Married,Backend Developer,"3,00,000",Senior,8,78,148,15,2006,7,Very High,2,3,35,6/7/2023,Design a complex operating system for budgeting and resource scheduling management,High,13/7/2023,4,2
300,Kajol Dutta,296,Female,63,Married,Backend Developer,"2,80,000",Senior,4,55,302,32,1987,2,Low,1,0,68,28/2/2020,Design the database architecture ensuring efficient data storage retrieval and indexing,High,20/4/2020,4,47
301,Amit Pasricha,297,Male,55,Married,Backend Developer,"2,50,000",Senior,3,60,157,15,1998,5,High,2,1,50,7/10/2023,Develop a secure user registration and login system,High,14/10/2023,4,4
302,Abhijeet Ahuja,298,Male,39,Married,Backend Developer,"5,40,000",Senior,2,52,230,15,2005,6,High,1,4,25,5/10/2023,Design and implement an advanced log-in system for premium users,High,24/11/2023,4,45
303,Ajay Shah,299,Male,32,Married,HR,"1,50,000",Senior,7,32,179,4,2018,10,High,2,3,9,10/6/2023,Responsible for onboarding and training new recruits,Low,18/9/2023,2,96
304,Ameena Patel,300,Female,62,Married,HR,"2,50,000",Senior,6,52,213,20,2002,5,Moderate,2,1,4,11/7/2023,Develop employee recognition programs and incentives to raise morale and motivation,Medium,15/7/2023,2,2
305,Vishnu Rao,301,Male,57,Married,Backend Developer,"3,50,000",Senior,8,80,217,22,1998,10,Very High,4,2,40,8/6/2023,Develop a secure user registration and login system,High,15/6/2023,4,6
306,Neha Ahuja,99,Female,32,Married,HR,"1,25,000",Senior,4,19,256,7,2015,9,Moderate,3,3,15,1/10/2023,Reconcile and document employee benefits and monitor trends,Medium,8/11/2023,2,36
307,Mark Klain,302,Male,29,Married,Backend Developer,"3,50,000",Senior,6,55,212,8,2013,6,Very High,2,2,22,5/2/2023,Implement server-side logic and APIs in order to provide authentication and authorization for user access,High,12/3/2023,4,36
308,Sneha Agarwal,303,Female,60,Married,HR,"4,00,000",Senior,11,89,278,36,1975,8,High,2,4,22,10/9/2023,Develop and execute a hiring plan of the most suitable candidates for the organisation,Low,15/10/2023,2,31
309,Aakash Gupta,304,Male,26,Bachelor,Frontend Developer,"1,40,000",Junior,3,25,170,4,2021,10,High,4,2,19,3/7/2023,Design and develop an automated framing system for customer pictures,Medium,18/8/2023,1,43
310,Nazia Ali,305,Female,32,Married,HR,"1,30,000",Senior,8,17,253,5,2019,7,High,3,5,11,19/5/2023,Create a workflow management system to streamline the operations of the HR team,Medium,30/7/2023,2,71
311,Nirmal Srivastava,306,Male,38,Married,Backend Developer,"2,83,000",Senior,8,57,174,12,2012,7,High,3,3,32,10/4/2023,Design database structure for storing and retrieving user data,High,17/7/2023,4,95
312,Anuja Gupta,307,Female,37,Married,Backend Developer,"2,40,000",Senior,3,32,234,11,2009,10,Very High,4,2,60,5/2/2023,Design and implement a secure authentication system,High,15/3/2023,4,36
313,Halima Khan,308,Female,48,Married,HR,"2,70,000",Senior,7,60,261,17,2005,8,Very High,2,4,20,5/5/2022,Designing and implementing company-wide employee hiring and onboarding procedures,Medium,15/6/2022,2,39
314,Akhila Yadav,309,Female,65,Married,Backend Developer,"4,00,000",Senior,2,60,345,18,2002,4,Very High,1,0,28,11/2/2023,Design and debug an online payment system assuming all permutations of input are to be processed,High,24/7/2023,4,162
315,Nilya Thakkar,310,Female,30,Married,Backend Developer,"3,00,000",Senior,5,62,204,11,2011,6,Very High,1,4,62,8/11/2023,Develop a secure user registration and login system,High,15/12/2023,4,36
316,Neha Kapoor,311,Female,30,Married,HR,"1,50,000",Senior,10,120,270,4,2019,8,High,1,1,15,15/12/2022,Organize team building activities to inspire and motivate employees,Low,30/1/2023,2,48
317,Rajeev Mathur,312,Male,55,Married,Backend Developer,"3,20,000",Senior,7,53,146,16,2004,6,High,1,3,42,3/10/2023,Design and develop a secure payment gateway for the website,High,11/10/2023,4,5
318,Shalini Gupta,313,Female,42,Married,HR,"1,50,000",Senior,6,53,243,10,2012,8,High,3,1,12,15/10/2023,Design processes and procedures to ensure compliance with standards and regulations,Medium,31/10/2023,2,18
319,Neela Patil,314,Female,30,Married,HR,"1,32,000",Senior,3,37,176,7,2018,8,Moderate,2,5,25,14/12/2023,Develop a comprehensive training curriculum to orient newcomers and to teach the HR team the latest AI technologies,Low,22/12/2023,2,3
320,Rajat Dubey,315,Male,32,Married,Backend Developer,"2,70,000",Senior,6,38,183,16,2003,7,High,2,1,59,5/10/2023,Design and build a user-friendly online platform for queries tasks and customer feedback,High,24/10/2023,4,17
321,Jennifer Patel,316,Female,24,Bachelor,Frontend Developer,"1,25,000",Senior,3,33,156,2,2021,7,High,3,2,20,4/7/2023,Develop a website for monitoring the progress of active projects,Medium,15/10/2022,1,265
322,Kanika Gupta,317,Female,39,Married,HR,"1,40,000",Senior,6,24,206,12,2008,8,Moderate,2,6,19,23/11/2023,Prepare quarterly and yearly performance reports of unsalaried employees,Medium,3/12/2023,2,10
323,Khushi Jain,318,Female,61,Married,HR,"1,40,000",Senior,10,27,224,27,1993,5,Moderate,1,1,25,1/10/2023,Develop a professional onboarding system that takes into account employee expected roles and job expectations,High,10/11/2022,2,323
324,Vishal Jain,319,Male,55,Married,Backend Developer,"2,80,000",Senior,3,66,134,31,1989,5,High,1,0,25,5/1/2024,Develop a streamlined approval process for customer orders,Medium,15/2/2024,4,38
325,Priyanka Pandey,320,Female,29,Married,HR,"1,25,000",Senior,2,16,214,5,2018,9,Moderate,4,4,10,5/11/2023,Handle recruitment process for new positions including interviews and onboarding successful candidates.,Medium,15/11/2023,2,14
326,Suman Mekhla,321,Female,24,Bachelor,Frontend Developer,"1,25,000",Junior,3,18,209,1,2023,6,High,3,1,10,6/7/2023,Design website components for easy user navigation and integration of payment features,Medium,12/7/2023,3,10
327,Rachel John,322,Female,43,Married,HR,"2,10,000",Senior,7,72,201,18,2003,9,High,4,4,24,11/11/2023,Develop a workflow report to monitor the progress of various projects,Medium,20/11/2023,2,12
328,Riya Patil,210,Female,55,Married,HR,"1,00,000",Senior,6,42,173,15,2005,6,Moderate,2,1,16,20/12/2023,Design and implement a workflow for training and promotion of employees,Medium,09/01/2024,2,25
329,Harini Shah,323,Female,35,Married,HR,"1,50,000",Senior,8,42,189,11,2010,8,High,3,3,8,30/10/2023,Creating onboarding and training programs to new staff in the HR department,Medium,10/11/2023,2,10
330,Nikhil Dhawan,324,Male,58,Married,Backend Developer,"2,35,000",Senior,6,78,124,25,1995,5,High,4,2,18,7/4/2023,Develop a comprehensive database for archiving historical records,High,28/4/2023,4,19
331,Roshni Sharma,325,Female,25,Married,HR,"1,00,000",Senior,3,13,248,4,2019,7,Very High,1,5,20,17/2/2024,Develop policy on adequate utilization of resources by employees,Medium,12/2/2024,2,7
332,Himanshu Pandey,326,Male,42,Married,Backend Developer,"3,00,000",Senior,7,70,127,17,2002,5,Very High,3,4,80,8/9/2023,Develop an intelligent API interface for third party services integration,High,30/10/2022,4,309
333,Anuj Verma,327,Male,59,Married,HR,"5,25,000",Senior,8,56,294,28,1994,9,Low,2,4,28,10/1/2021,Design and implement a flexible yet effective HR policy for the organization,High,20/1/2021,2,7
334,Riya Sharma,174,Female,35,Married,HR,"1,70,000",Senior,7,36,207,17,2003,6,High,1,3,18,17/9/2023,Scheduling and organizing team meetings to review the performance of individual team members,Medium,1/6/2024,2,261
335,Naveen Rao,328,Male,42,Married,Backend Developer,"2,80,000",Senior,4,48,212,17,2003,6,High,1,0,40,29/10/2023,Develop efficient algorithms for predicting user behavior,High,10/10/2023,4,14
336,Chirag Shah,329,Male,52,Married,Backend Developer,"4,00,000",Senior,4,37,217,15,2005,6,High,1,3,25,1/7/2023,Develop a secure user authentication system for user accounts and access control,High,8/9/2023,4,65
337,Rashmi Patil,330,Female,32,Married,HR,"1,25,000",Senior,10,37,112,7,2016,9,Moderate,4,2,8,10/11/2023,Analyze market feedback to tailor HR services to employee needs,Medium,13/11/2023,2,6
338,Aditi Bhatt,331,Female,24,Bachelor,R&D,"1,10,000",Junior,5,6,172,4,2021,7,Moderate,2,4,8,14/10/2023,Develop a data analysis algorithm for financial services industry,High,20/11/2023,5,33
339,Nimit Jain,332,Male,37,Married,Backend Developer,"2,25,000",Senior,2,48,129,15,2005,7,High,1,4,49,19/11/2023,Develop a secure API for connecting mobile applications to back-end databases,Medium,20/12/2023,4,30
340,Gagan Gupta,333,Male,62,Married,Backend Developer,"2,50,000",Senior,7,59,201,27,1987,1,Very Low,3,4,30,16/11/2023,Design and deploy a custom coding language for web development,High,11/12/2023,4,20
341,Neelima Malik,334,Female,43,Married,Backend Developer,"3,00,000",Senior,8,84,219,18,2002,5,High,1,4,61,5/11/2023,Developing and optimizing algorithms for large datasets to facilitate faster searches,High,15/11/2023,4,8
342,Sara Wadhwa,335,Female,32,Married,HR,"1,30,000",Senior,7,42,145,8,2009,4,High,2,3,9,2/3/2024,Facilitate transitions and onboarding of new employees,Low,30/4/2022,2,667
343,Akshay Chaturvedi,336,Male,43,Married,Backend Developer,"3,10,000",Senior,6,42,206,17,2003,6,High,2,4,54,5/12/2023,Develop a secure user registration and login system with improved security protocols,Medium,28/12/2023,4,23
344,Neeti Shah,337,Female,44,Married,HR,"2,70,000",Senior,7,87,147,17,2004,5,Moderate,4,2,8,6/8/2023,Prepare surveys for staff evaluating their performance and job satisfaction,Low,24/8/2023,1,14
345,Sara Malhotra,338,Female,57,Married,HR,"2,00,000",Senior,3,14,310,25,1995,9,Moderate,4,7,9,4/12/2023,Provide mentoring to other HR colleagues and orienting new recruits to the company's values and policies,Medium,20/12/2023,2,16
346,Vivan Dixit,339,Male,35,Married,Backend Developer,"2,20,000",Senior,8,63,196,15,2007,8,High,2,5,40,12/3/2023,Design and implement a secure blockchain network optimized for large-scale data storage and transmission,High,1/4/2023,4,18
347,Akash Sharma,340,Male,37,Married,Frontend Developer,"1,60,000",Senior,7,15,34,5,2017,6,High,2,2,10,15/9/2023,Create mobile versions for the software,Medium,27/9/2023,3,15
348,Neha Singh,341,Female,36,Married,HR,"1,30,000",Senior,4,19,224,6,2016,9,Moderate,3,3,14,18/10/2023,Design and deliver employee engagement plans and activities to boost morale and motivation,High,25/10/2023,2,5
349,Pranay Singh,342,Male,33,Married,Backend Developer,"3,50,000",Senior,4,49,160,12,2011,10,Very High,5,4,35,17/9/2023,Develop webhooks for a microservices based architecture,Medium,30/9/2023,4,11
350,Purvi Mehta,343,Female,45,Married,HR,"1,50,000",Senior,8,72,247,17,2004,5,Very High,4,2,30,5/8/2023,Organizing team meetings for progress updates & feedback and providing assistance to team members regarding challenges faced,Medium,18/9/2023,2,44
351,Karan Gupta,121,Male,45,Married,Backend Developer,"4,00,000",Senior,6,37,137,15,2005,8,High,2,3,28,08/07/2023,Developing code and logic to provide a secure solution for user authentication and logins,High,15/7/2023,4,2
352,Kashyap Jain,344,Male,41,Married,Backend Developer,"3,85,000",Senior,2,56,234,12,2009,7,High,3,2,62,14/7/2023,Develop an API for content management system integration,High,22/7/2023,4,5
353,Sanjay Malik,345,Male,57,Married,Backend Developer,"3,30,000",Senior,10,87,211,24,1997,7,Moderate,3,2,45,6/3/2024,Develop new feature to improve usability on the mobile application,High,10/5/2024,4,59
354,Abhay Sharma,346,Male,42,Married,Backend Developer,"2,50,000",Senior,5,50,115,15,2005,7,Very High,3,3,48,1/1/2023,Develop a secure user registration and login system,High,30/1/2024,4,393
355,Kabir Khanna,347,Male,33,Married,Frontend Developer,"1,50,000",Senior,1,7,177,8,2019,6,High,3,2,15,26/8/2023,Develop an AI-driven website for providing tailored solutions,Medium,8/11/2023,3,76
356,Rahul Mehra,348,Male,60,Married,Backend Developer,"3,45,000",Senior,7,85,232,28,1985,4,Moderate,2,2,22,1/2/2023,Optimize and maintain existing web content to help keep page loading times fast,Medium,15/2/2023,4,17
357,Zara Ali,349,Female,33,Married,HR,"1,50,000",Senior,7,25,172,8,2010,6,Moderate,2,3,11,16/7/2023,Create new policies to strengthen workplace safety and privacy measures,Medium,21/8/2023,2,39
358,Asish Malik,350,Male,26,Bachelor,Backend Developer,"2,20,000",Senior,2,52,199,6,2017,7,Moderate,4,4,25,25/9/2023,Create a secure data authentication protocol to ensure accurate user data retrievals,Medium,11/10/2023,4,14
359,Reena Mathur,351,Female,42,Married,HR,"1,25,000",Senior,3,23,136,14,2007,8,High,4,2,9,19/6/2022,Plan and execute employee recognition events and rewards for productivity,Low,20/10/2023,2,484
360,Ayush Gupta,352,Male,32,Married,Frontend Developer,"1,30,000",Senior,6,32,183,5,2018,8,High,1,2,24,19/9/2023,Developing a user journey aligned with business goals and desired user experience,Medium,27/9/2023,1,7
361,Arjun Desai,353,Male,41,Married,Backend Developer,"2,20,000",Senior,5,52,197,11,2009,7,High,2,3,39,06/09/2023,Develop an AI-driven user recommendation and personalization system for the website,High,15/10/2023,4,38
362,Krithik Arora,354,Male,25,Bachelor,Frontend Developer,"1,45,000",Senior,5,22,50,4,2018,9,High,2,3,18,3/7/2023,Create and optimize the website's navigation and user flow,High,28/7/2023,4,20
363,Mukul Ahuja,355,Male,35,Married,Backend Developer,"2,30,000",Senior,10,59,157,11,2009,8,Very High,3,4,48,1/10/2023,Design and implement code to protect against malicious web attacks,Medium,8/10/2023,4,8
364,Jenasia Singh,356,Female,35,Married,Backend Developer,"3,50,000",Senior,3,51,215,12,2011,9,Very High,4,2,54,18/5/2023,Develop new features and functions for an existing web application,Low,30/7/2023,4,69
365,Rajesh Kaul,357,Male,40,Married,Backend Developer,"3,00,000",Senior,4,56,200,13,2007,6,High,2,8,45,29/8/2023,Develop an Internal Messaging feature for a social media platform,High,1/9/2023,4,1
366,Namrata Gupta,358,Female,49,Married,Backend Developer,"2,84,000",Senior,9,62,298,15,2005,8,Very High,1,3,47,22/12/2023,Develop complex algorithms to analyze customer data and generate reports,High,8/1/2024,4,20
367,Mayank Doshi,359,Male,41,Married,Backend Developer,"2,50,000",Senior,8,50,170,14,2006,6,High,2,4,60,19/7/2023,Design and implement a secure user permission system,High,16/10/2023,4,82
368,Gaurav Shah,360,Male,39,Married,Backend Developer,"3,00,000",Senior,8,58,193,17,2004,10,Very High,2,3,40,10/12/2023,Design and implement database structure for storing and retrieving user data,High,17/12/2023,4,5
369,Somil Verma,361,Male,28,Married,Frontend Developer,"1,35,000",Senior,3,15,132,5,2016,8,High,2,2,25,21/6/2023,Design a personalized user interface for a web application with innovative design principles,Medium,26/7/2023,1,33
370,Mohit Bansal,362,Male,40,Married,Backend Developer,"3,00,000",Senior,10,70,200,20,2001,9,Very High,1,4,48,27/3/2022,Design a secure e-commerce website to collective user data and insights,High,5/4/2022,4,7
371,Riddhima Sharma,363,Female,45,Married,HR,"1,80,000",Senior,8,19,197,10,2008,7,High,1,1,17,22/9/2023,Develop performance criteria to rate recruitment processes and review current methods,High,28/9/2023,2,4
372,Amita Shah,364,Female,34,Married,Backend Developer,"3,50,000",Senior,7,90,208,11,2009,9,Very High,2,4,44,12/11/2023,Create a User Authentication System with secure encryption methods,High,8/11/2023,4,2
373,Harish Thakkar,365,Male,32,Married,Backend Developer,"2,42,000",Senior,8,60,191,10,2011,7,High,2,5,45,20/5/2023,Develop an API connecting web and mobile applications for synchronization of data,Medium,18/6/2023,4,26
374,Ranjeet Gupta,366,Male,28,Married,Frontend Developer,"1,50,000",Junior,2,22,191,5,2018,7,High,2,1,23,22/9/2023,Design a user friendly payment system with maximum security features,High,15/10/2023,1,22
375,Neha Kaur,367,Female,32,Married,HR,"1,20,000",Senior,8,20,320,11,2009,8,Low,4,4,8,29/8/2023,Design a compensation and benefits structure for employees,Medium,16/9/2023,2,15
376,Parth Khanna,368,Male,62,Married,Backend Developer,"3,60,000",Senior,6,52,253,18,2002,5,High,3,2,36,25/11/2023,Design and implement database structure for storing and retrieving user data,Medium,15/12/2023,4,23
377,Riya Jain,119,Female,32,Married,HR,"1,20,000",Senior,4,36,178,8,2013,7,Moderate,1,4,18,20/6/2022,Recruit and screen potential employees and coordinate the onboarding process,Medium,12/10/2022,5,112
378,Pratik Chawla,369,Male,35,Married,Backend Developer,"3,00,000",Senior,4,47,151,11,2009,9,Very High,3,3,45,6/10/2023,Design efficient system architecture to enable flexible support of dynamic data with multiple users,High,15/11/2023,4,37
379,Arpit Bharadwaj,370,Male,28,Married,Backend Developer,"2,20,000",Senior,2,47,143,8,2014,7,Very High,2,1,34,21/10/2023,Develop a real-time logging system for error monitoring and analytics,Medium,29/10/2023,4,10
380,Himanshu Jamaal,371,Male,36,Married,Backend Developer,"3,00,000",Senior,3,54,211,18,2005,9,Very High,3,5,45,10/10/2023,Enhance the security of online payments and transactions,High,7/11/2023,4,23
381,Garima Rana,372,Female,33,Married,HR,"1,20,000",Senior,4,14,124,6,2014,9,Very High,3,5,10,17/5/2023,Design and implement a rewards program for employees,Medium,27/6/2023,2,44
382,Ankur Singh,373,Male,62,Married,Backend Developer,"4,00,000",Senior,3,16,198,20,2000,4,Very High,3,8,85,25/5/2023,Develop complex data models and architecture frameworks for machine learning algorithms,High,15/7/2022,4,311
383,Shweta Kapoor,374,Female,60,Married,HR,"1,50,000",Senior,7,17,295,21,1999,5,Moderate,2,4,23,27/8/2023,Coordinate meetings with the upper management to discuss the essential requirements of the organization such as recruitment and training,Low,15/9/2023,2,14
384,Neha Verma,147,Female,31,Married,Frontend Developer,"1,15,000",Senior,5,22,178,8,2015,7,High,3,1,11,14/6/2023,Design a database structure optimized for fast data retrieval and updating,Medium,17/7/2023,1,34
385,Robbie Chaudhry,375,Male,42,Married,Backend Developer,"3,00,000",Senior,6,66,221,18,2002,9,High,3,4,54,23/11/2023,Design and launch data models with reducded time complexity and increased hardware efficiency,High,14/12/2023,4,20
386,Sanjeev Kumar,376,Male,44,Married,HR,"3,50,000",Senior,2,47,213,19,2001,8,Moderate,1,4,17,25/10/2023,Schedule meetings and conferences and mentor junior employees,High,31/12/2023,2,63
387,Hemant Jain,377,Male,45,Married,Backend Developer,"3,00,000",Senior,1,70,162,12,2003,8,High,2,4,23,5/11/2023,Design and implement a highly secure login system for customer users,High,20/11/2023,4,11
388,Kamal Verma,378,Male,33,Married,Backend Developer,"2,50,000",Senior,1,57,130,12,2010,7,Moderate,2,4,40,24/5/2023,Design a system to collect customer feedback and ranking on a scale of 1 to 5 accordingly,Medium,1/12/2022,4,180
389,Shruti Patil,379,Female,29,Married,HR,"1,20,000",Senior,7,33,193,5,2015,9,High,3,1,8,22/6/2023,Prepare an analysis of the company's employee productivity and suggest new development goals,Medium,25/7/2023,2,37
390,Anshul Mehta,380,Male,29,Married,Backend Developer,"2,35,000",Senior,8,51,166,7,2016,7,High,3,5,28,10/12/2023,Develop an automated performance evaluation system to detect and report anomalies in the system,High,15/1/2024,4,35
391,Vivek Jaiswal,381,Male,33,Married,Backend Developer,"3,50,000",Senior,8,51,154,10,2010,9,Very High,4,5,36,21/6/2023,Design and implement database structure for storing and retrieving user data,High,29/6/2023,4,6
392,Steven Jones,382,Male,48,Married,Backend Developer,"2,80,000",Senior,8,63,237,15,2007,10,High,2,4,50,9/9/2023,Design and implement a comprehensive data structure for a large database related to user data,High,15/11/2022,4,294
393,Sana Khan,383,Female,30,Married,HR,"1,25,000",Senior,10,17,214,8,2018,7,High,1,4,17,22/10/2023,Conduct employee performance surveys to measure productivity and feedback,Low,28/10/2023,2,2
394,Neha Jain,274,Female,36,Married,HR,"1,50,000",Senior,6,20,190,4,2019,7,High,3,4,10,7/9/2023,Coordinate in-depth customer interviews to assess user preferences and requirement,Medium,7/10/2023,2,30
395,Nina Sharma,384,Female,32,Married,HR,"1,20,000",Senior,4,22,324,7,2016,8,High,1,2,8,18/10/2023,Develop a training manual for customer service agents,Medium,26/12/2023,2,66
396,Viraj Jain,385,Male,24,Bachelor,Frontend Developer,"1,05,000",Senior,3,32,154,5,2018,8,Very High,4,5,23,19/8/2023,Design mobile application interfaces and improve customer experience,Medium,10/9/2023,1,19
397,Gaurav Kumar,151,Male,55,Married,Backend Developer,"2,80,000",Senior,5,51,184,10,2009,8,High,3,3,52,11/9/2023,Create a secure API for external integrations,High,15/10/2023,4,33
398,Sumedh Rao,386,Male,65,Married,R&D,"2,50,000",Senior,5,42,236,17,2018,4,Moderate,3,3,28,31/8/2023,Develop a predictive user flow analysis tool for website visitors,Medium,19/10/2023,5,47
399,Aniket Singh,387,Male,28,Married,Frontend Developer,"1,25,000",Senior,3,32,187,8,2015,7,High,2,1,25,29/8/2023,Design the user interface and user experience to ensure easy navigation and usage,Medium,19/9/2023,1,24
400,Anushka Tiwari,388,Female,22,Bachelor,R&D,"1,10,000",Junior,2,6,245,1,2022,9,Moderate,1,2,5,17/8/2023,Perform a network security audit to identify potential vulnerabilities,High,23/9/2023,5,35
401,Nisha Sharm,389,Female,36,Married,HR,"1,25,000",Senior,8,53,227,10,2011,9,High,1,2,20,25/9/2023,Develop training plans to help employees acquire the required skills and competencies for their jobs,Medium,10/12/2023,2,78
402,Sonia Sharma,390,Female,27,Married,Frontend Developer,"1,50,000",Senior,3,32,174,5,2016,7,High,2,3,22,11/10/2023,Develop a user dashboard for a revenue tracking system,Medium,19/10/2023,1,5
403,Neha Sharma,391,Female,45,Married,HR,"2,50,000",Senior,8,46,308,18,2012,9,High,4,5,15,1/1/2024,Initiate and monitor strategies to foster team morale and provide support for employees,Low,10/1/2024,2,5
404,Veer Sharma,392,Male,61,Married,Backend Developer,"4,50,000",Senior,9,88,239,28,1990,1,Low,5,8,55,11/10/2023,Develop a secure user registration and login system,High,28/11/2023,4,45
405,Seyyed Abdullah,393,Male,39,Married,Frontend Developer,"1,50,000",Senior,2,30,233,8,2016,7,High,4,4,40,10/10/2023,Design and develop multimedia content for website,Medium,18/10/2023,4,12
